question_text,Option_A,Option_B,Option_C,Option_D,correct_answer,domain
"A standard-cell library is constrained so that only one universal gate family may be used to build an inverter, AND, and OR functions. Which gate family is sufficient by itself?",AND gates only,OR gates only,NAND gates only,XOR gates only,C,digital_design
"During logic optimization, the expression NOT(A AND B) must be rewritten so it can be implemented as two input inversions followed by one gate. Which expression is equivalent?",NOT(A) AND NOT(B),NOT(A) OR NOT(B),A OR B,NOT(A OR B),B,digital_design
"In a timing review, a storage element updates whenever enable is high, while another samples data only on a rising clock edge. Which distinction is being described?",Latches use less power than flip-flops in every implementation.,"Latches are level-sensitive, while flip-flops are edge-triggered.",Flip-flops do not have clock inputs.,Latches are combinational and cannot store state.,B,digital_design
A datapath must select exactly one of 16 input buses using a binary select field. What is the minimum number of select bits required?,2,3,4,8,C,digital_design
An ALU designer wants subtraction to reuse the same adder hardware by adding the negated second operand. Which signed-number representation best supports this?,Sign-magnitude,One's complement,Two's complement,Gray code,C,digital_design
A FIFO pointer must cross into another clock domain. Why is the pointer often converted from binary to Gray code first?,Gray code automatically corrects all multi-bit errors.,"Only one bit changes between adjacent pointer values, reducing multi-bit sampling ambiguity.",Gray code uses fewer bits than binary for the same count range.,Gray code makes the FIFO memory faster to read.,B,digital_design
A 4-bit unsigned status bus reads 1011. A comparator asserts when the value is greater than decimal 10. What should the comparator output?,"Not asserted, because 1011 equals decimal 9.","Asserted, because 1011 equals decimal 11.","Not asserted, because 1011 is a negative value.","Asserted, because any value with MSB = 1 is greater than 10.",B,digital_design
A register file uses a 3-bit address to enable exactly one of eight write-enable lines. Which combinational block directly produces this one-hot selection?,Multiplexer,Decoder,Encoder,Magnitude comparator,B,digital_design
"In a static CMOS inverter, the input transitions high and the output must be driven low. Which device behavior creates the low output?",The PMOS turns on and pulls the output to VDD.,"Both PMOS and NMOS stay off, leaving the output floating.",The NMOS turns on and provides a pull-down path to ground.,The inverter output is determined only by load capacitance.,C,digital_design
"A Verilog module describes registers, next-state logic, and arithmetic operations before technology mapping. Which abstraction level is this?",Resistor-Transistor Logic,Register-Transfer Level,Ready-To-Layout,Run-Time Logic,B,digital_design
"A combinational signal glitches briefly after a clock edge but settles to the correct value before the next setup window. In a properly timed synchronous path, what happens at the destination register?",The register stores every glitch that occurs between clock edges.,"The register samples only the value present at the active clock edge, assuming setup and hold are met.",The clock automatically stretches to wait for all glitches.,The flip-flop becomes permanently damaged.,B,digital_design
Which output is expected from a synthesis tool after it maps RTL to a target standard-cell library?,A routed physical layout with final metal shapes,A technology-mapped gate-level netlist,A completed silicon wafer test report,A parasitic extraction file generated from final routing only,B,digital_design
An FPGA receives one serial bit per clock and must present the last 8 received bits simultaneously to downstream logic. Which structure is most appropriate?,Shift register,Priority encoder,Magnitude comparator,Tri-state bus,A,digital_design
A byte is transmitted with one even-parity bit. What does the parity bit primarily help detect?,Data compression opportunities,"An odd number of bit errors, especially a single-bit error",The exact bit location of every error,All possible two-bit errors,B,digital_design
"Several open-drain devices share a pulled-up interrupt line. If any device pulls the line low, the shared signal becomes low. What logic behavior does this create?",Wired-AND behavior in active-low form,A short-circuit that is always destructive,Analog voltage amplification,Frequency multiplication,A,digital_design
"A one-bit adder stage receives A, B, and Carry-In from the previous bit. Which outputs are required to chain this stage into a wider adder?",Only Sum,Sum and Carry-Out,"Sum, Difference, and Borrow",A and B forwarded unchanged,B,digital_design
"A 4-variable K-map labels columns as 00, 01, 11, 10 instead of 00, 01, 10, 11. Why is this ordering used?",It sorts cells by ordinary binary value.,It makes adjacent cells differ by exactly one variable.,It prevents all dynamic hazards automatically.,It eliminates the need for Boolean algebra.,B,digital_design
A Verilog register is never reset or initialized before simulation reads it. What value should a four-state simulator typically show before the first assignment?,0,1,x (unknown),z (high impedance),C,digital_design
"A data input changes too close to the active clock edge of a flip-flop, violating setup time. What is the most likely functional risk?",The circuit runs faster because the data bypasses delay.,The output may become metastable or resolve unpredictably.,The clock frequency automatically decreases.,The flip-flop is permanently destroyed.,B,digital_design
A single-bit enable signal crosses from a slow asynchronous domain into a faster clock domain. Which structure is the standard first choice to reduce metastability risk?,A large combinational delay buffer,A two-flip-flop or multi-stage synchronizer in the destination clock domain,A differential analog receiver,A stronger source gate driver only,B,digital_design
"In an FSM review, the output equations are driven only by the state register bits and not directly by external inputs. What type of FSM is this?",Mealy FSM,Moore FSM,Purely combinational decoder,Asynchronous state machine with no clock,B,digital_design
"A combinational output should remain at logic 1 while one input changes, but it briefly dips to 0 due to unequal gate delays. What is this called?",Static-0 hazard,Static-1 hazard,Dynamic hazard,Clock hazard,B,digital_design
A two-level SOP implementation has a static-1 hazard between adjacent K-map groups. Which change most directly removes the hazard?,Reduce the system clock frequency only.,Add a redundant consensus product term covering the transition.,Replace every gate with XOR gates.,Remove all pull-up devices.,B,digital_design
"For a register-to-register path, which factor usually limits the maximum clock frequency of a synchronous circuit?",Only the destination register hold time,The longest register clock-to-Q plus combinational delay plus setup requirement,Only transistor leakage current,The number of unused inputs in the design,B,digital_design
Why are hold-time violations difficult to work around after silicon is manufactured?,They always increase static power beyond the package limit.,Lowering the clock frequency does not fix a minimum-delay violation.,They physically destroy the gate oxide immediately.,They prevent the RTL simulator from compiling.,B,digital_design
